강의분류,강의명,조회수,조회수_숫자
제조업,나를 꽃피우는 직장생활,조회수 : 1314,1314
건설업,매 순간 흔들려도 매일 우아하게,조회수 : 2028,2028
건설업,매너가 사람을 만든다,조회수 : 3764,3764
마케팅,[GPT 활용역량] 척하면 착! ChatGPT 프롬프트 작성원리,조회수 : 4599,4599
예술,빅데이터 시대 기획의 모든 것,조회수 : 769,769
건설업,소상공인 신규 고객을 부르는 블로그 마케팅,조회수 : 848,848
건설업,4050 파워포인트 왕초보를 감동시킨 PPT 입문자 코스,조회수 : 2595,2595
과학 기술 서비스업,스마트제조 레시피,조회수 : 188,188
건설업,"일에 진심인 이들을 만나는 시간, 행복한 일(1)",조회수 : 151,151
건설업,6개월이면 매출 2배! 4050을 위한 인스타그램 마케팅 비법,조회수 : 1324,1324
건설업,OTT 분야 직무: 2. 콘텐츠 수/배급 - 콘텐츠 뒤의 사람들 OTT 이야기,조회수 : 444,444
건설업,<조재원의 색다른 체험기> 사례 연구 - 숏폼 콘텐츠 기획 및 성공 사례 분석,조회수 : 1493,1493
운수 및 창고업,낙향문사전 작가를 만나다 - 웹툰 웹소설 각색하기,조회수 : 546,546
예술,대기업도 따라하는 스타트업 히든 파워,조회수 : 544,544
운수 및 창고업,나는 진짜 일을 합니다,조회수 : 866,866
건설업,일터로 간 문해력,조회수 : 781,781
공급업,빈칸을 채우는 기획자의 습관,조회수 : 771,771
운수 및 창고업,인공지능(AI)이 주도하는 4차 산업혁명 시대,조회수 : 1695,1695
마케팅,빅데이터 시대 분석의 모든 것,조회수 : 769,769
제조업,럭셔리 디지털마케팅으로 내 브랜드 레벨업 시키기,조회수 : 559,559
제조업,[오단기 2010~2019] 야근없는 직장생활을 위한 공대녀의 실전 엑셀-보고서 고급 스킬,조회수 : 949,949
제조업,The NEW HR,조회수 : 114,114
정보통신,"일에 진심인 이들을 만나는 시간, 행복한 일(2)",조회수 : 31,31
운수 및 창고업,0원으로 시작해서 월급을 뛰어넘는 SNS 콘텐츠 만드는 비밀 with 미리캔버스,조회수 : 4524,4524
마케팅,이호선의 0세부터 100세까지 가족 처방전,조회수 : 1262,1262
공급업,2024 박문각 주택관리사 - 문제풀이 - 회계원리,조회수 : 15925,15925
건설업,긍정의 힘 슬기로운 셀프리더십,조회수 : 552,552
건설업,[주거복지사] 2024 주거복지사 시험대비(총론),조회수 : 795,795
제조업,세상에서 가장 쉬운 블로그 글쓰기,조회수 : 814,814
제조업,OTT 분야 직무: 3. 서비스 기획 및 운영 디자인(2) - 콘텐츠 뒤의 사람들 OTT 이야기,조회수 : 379,379
건설업,갑자기 비서가 생겼다! 나만의 AI 인턴 활용법,조회수 : 1955,1955
마케팅,콘텐츠 특허와 상표권 - 콘텐츠 상표,조회수 : 1332,1332
예술,[Hello DT!] 내 일을 바꾸는 파이썬 업무 자동화 - 입문편,조회수 : 463,463
제조업,웹툰 프로듀서를 위한 실전 만화기획 - 만화의 기획이란?,조회수 : 538,538
건설업,개인사업자와 중소상공인이 활용하는 SNS 마케팅,조회수 : 282,282
예술,탄소로운 식탁,조회수 : 5261,5261
건설업,리더의 공심전 Remaster,조회수 : 646,646
제조업,[HD]MS 오피스 2021 제대로 배우기 - Word 2021,조회수 : 325,325
건설업,미리캔버스로 디자인 고수 되기,조회수 : 1162,1162
건설업,저도 한마디 하겠습니다,조회수 : 557,557
운수 및 창고업,타로 한 달 배워서 단돈 2만 원으로 월 200만 원 벌기,조회수 : 2098,2098
건설업,다시 생각을 디자인하다,조회수 : 1661,1661
건설업,[HD]웹디자인기능사 자격증 따기 (실기) 2022 Part.4 기출유형풀이,조회수 : 219,219
제조업,AI시대의 필수 융합스킬 소프트스킬과 하드스킬을 조합하라,조회수 : 2179,2179
예술,[HD]GTQ 1급 자격증 따기 - 기출문제 (2022),조회수 : 659,659
건설업,[HD]누구나 쉽게 생산성을 높이는 Notion(노션) 데이터베이스 중급 - Part.2 테이블 컬럼 속성,조회수 : 273,273
건설업,[HD]No code(노코드)! AppSheet(앱시트)로 코딩없이 전문가 수준 앱 만들기 (입문) Part.1 기초 및 DB 용어,조회수 : 254,254
건설업,전문직 종사자를 위한 6개월만에 글로 매출 2배 올리기,조회수 : 602,602
정보통신,4050세대를 위한 유튜버 스마트폰으로 쉽고 빠르게 편집하기,조회수 : 1068,1068
예술,4050 파워포인트 왕초보를 감동시킨 PPT 중급자 코스,조회수 : 1234,1234
마케팅,노트에 빠지다,조회수 : 1404,1404
제조업,취미만 즐기면 누구나 혜택이 쏟아지는 정부공공기관 서포터즈로 거듭나기,조회수 : 910,910
정보통신,"일에 진심인 이들을 만나는 시간, 행복한 일(3)",조회수 : 42,42
예술,다시 출근합니다 제2의 인생 - 행복한 내일(창업편),조회수 : 479,479
마케팅,2024 박문각 주택관리사 - 문제풀이 - 민법,조회수 : 18323,18323
정보통신,In-Camera VFX의 이해 - 가상을 현실로 Virtual Studio의 모먼트,조회수 : 443,443
건설업,1인 콘텐츠 실제 제작하기 2 : 기획 및 제작,조회수 : 1223,1223
운수 및 창고업,천애협로 작가를 만나다 - 웹툰 웹소설 각색하기,조회수 : 549,549
마케팅,탄소로운 옷장,조회수 : 961,961
의료,70년대생이 운다,조회수 : 1958,1958
제조업,Deep Thinking,조회수 : 520,520
정보통신,그래서 인터널브랜딩,조회수 : 224,224
제조업,인공지능 레시피,조회수 : 866,866
운수 및 창고업,빅데이터 시대 운영의 모든 것,조회수 : 401,401
제조업,핵심만 콕! 시장분석 및 시장개척 실무,조회수 : 145,145
건설업,4050 파워포인트 왕초보를 감동시킨 PPT 상급자 코스,조회수 : 773,773
건설업,Photogrammetry 활용하기 - 준비 가이드,조회수 : 1011,1011
운수 및 창고업,중년을 위한 100프로 취업하기 프로젝트,조회수 : 8876,8876
건설업,창업의 모든 것 소상공인 살아남기 프로젝트,조회수 : 692,692
건설업,OTT 차세대 미디어로 성장하다 - 이제는 OTT 시대 OTT 플랫폼 이야기,조회수 : 302,302
제조업,1인 콘텐츠 실제 제작하기 3 : 콘텐츠 영상 편집,조회수 : 2219,2219
예술,스튜디오 창작 시스템의 이해 - 웹툰 산업 및 플랫폼의 변화 양상,조회수 : 475,475
제조업,권순우 기자의 수소 경제,조회수 : 1316,1316
건설업,거인의 어깨,조회수 : 443,443
건설업,개발자는 왜 안 된다고만 말할까,조회수 : 72,72
건설업,콘텐츠 권력의 시대,조회수 : 73,73
과학 기술 서비스업,AI in action,조회수 : 1900,1900
건설업,[HD]누구나 쉽게 생산성을 높이는 Notion(노션) 데이터베이스 고급 - Part.1 DB구축과 계산,조회수 : 583,583
제조업,(리프레시) 핵심만 콕! 마케팅 기획의 핵심과 실행전략,조회수 : 267,267
건설업,[오단기 2010~2019] 지금 바로 써먹는 피도리의 실전 파워포인트-기능 꿀팁,조회수 : 864,864
건설업,Photogrammetry 활용하기 - Reality Capture를 이용한 3D 모델링,조회수 : 1622,1622
제조업,아트스피치 기법을 활용한 3분 자기소개 (면접모임등),조회수 : 2441,2441
제조업,4050세대를 위한 무자본 1인지식창업 실전 노하우,조회수 : 3211,3211
제조업,돈의 역사,조회수 : 4937,4937
건설업,[주거복지사] 2024 주거복지사 시험대비,조회수 : 268,268
과학 기술 서비스업,핵심만 콕! 셀프 리더십과 팔로워십,조회수 : 318,318
제조업,OTT 산업 현황 분석 및 주요 직무 소개 - 콘텐츠 뒤의 사람들 OTT 이야기,조회수 : 394,394
예술,[소확성] 스피치소통디렉터 임정민의 진짜 어른의 대화법,조회수 : 502,502
건설업,취재와 촬영 - 다큐멘터리 글쓰기,조회수 : 894,894
건설업,엑셀을 활용한 업무자동화(ChatGPT활용),조회수 : 1898,1898
운수 및 창고업,웹소설 원작 웹툰으로 각색하기 - 웹툰 웹소설 각색하기,조회수 : 1015,1015
